mbid,day,mentions
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-10,1.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-13,6.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-08,2.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-12,5.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-07,1.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-09,4.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-11,1.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-14,3.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-16,2.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-17,5.0
eda79c70-65d4-4eac-893c-4525eac50112,2015-04-15,7.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-07,7.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-08,40.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-09,35.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-10,28.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-11,27.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-12,38.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-13,31.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-14,36.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-15,66.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-16,94.0
a0bee142-dc1e-4ed3-8ea7-39ea44891f42,2015-04-17,55.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-12,2.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-08,1.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-11,1.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-10,2.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-13,2.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-07,1.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-14,2.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-15,2.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-16,1.0
72d5b503-0449-4511-9bbe-9be096135d9a,2015-04-17,2.0
47a3779e-ee10-4877-a678-0ef71430a526,2015-04-09,1.0
47a3779e-ee10-4877-a678-0ef71430a526,2015-04-14,1.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-08,5.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-07,2.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-09,3.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-12,1.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-14,3.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-13,3.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-11,2.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-10,4.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-15,2.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-16,2.0
5ffe7ec5-8cd6-4e9a-a631-92e4434b4bb5,2015-04-17,1.0
4db45f4a-963f-4b6c-a986-835c51549a85,2015-04-14,1.0
b825c714-8dbf-4016-b571-5730adbde70f,2015-04-14,1.0
96c463f8-a1d3-4ac7-b233-39f02282e31b,2015-04-13,1.0
96c463f8-a1d3-4ac7-b233-39f02282e31b,2015-04-10,2.0
96c463f8-a1d3-4ac7-b233-39f02282e31b,2015-04-07,1.0
96c463f8-a1d3-4ac7-b233-39f02282e31b,2015-04-08,1.0
96c463f8-a1d3-4ac7-b233-39f02282e31b,2015-04-14,2.0
96c463f8-a1d3-4ac7-b233-39f02282e31b,2015-04-15,2.0
96c463f8-a1d3-4ac7-b233-39f02282e31b,2015-04-16,1.0
96c463f8-a1d3-4ac7-b233-39f02282e31b,2015-04-17,1.0
f2029127-1370-4edf-b29a-2e580740237a,2015-04-14,1.0
79d3ebfb-b857-47f0-a360-c6a03f20e4ff,2015-04-12,1.0
79d3ebfb-b857-47f0-a360-c6a03f20e4ff,2015-04-14,2.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-08,7.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-09,4.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-10,11.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-07,3.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-11,8.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-12,7.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-14,4.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-13,7.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-17,3.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-16,6.0
9de03af5-c7bc-405b-84b7-93cce76734c8,2015-04-15,7.0
cbfdfdf3-a12d-468e-aafc-bed67ba1f851,2015-04-08,1.0
cbfdfdf3-a12d-468e-aafc-bed67ba1f851,2015-04-07,1.0
cbfdfdf3-a12d-468e-aafc-bed67ba1f851,2015-04-14,2.0
a5e7fd63-4848-4629-9b26-20c38f081b0d,2015-04-11,1.0
a5e7fd63-4848-4629-9b26-20c38f081b0d,2015-04-15,1.0
a5e7fd63-4848-4629-9b26-20c38f081b0d,2015-04-14,3.0
a5e7fd63-4848-4629-9b26-20c38f081b0d,2015-04-10,2.0
a5e7fd63-4848-4629-9b26-20c38f081b0d,2015-04-08,3.0
a5e7fd63-4848-4629-9b26-20c38f081b0d,2015-04-17,1.0
401ac501-ecdc-4f86-8aab-49e359e5c316,2015-04-15,1.0
401ac501-ecdc-4f86-8aab-49e359e5c316,2015-04-14,1.0
401ac501-ecdc-4f86-8aab-49e359e5c316,2015-04-08,1.0
401ac501-ecdc-4f86-8aab-49e359e5c316,2015-04-16,2.0
401ac501-ecdc-4f86-8aab-49e359e5c316,2015-04-17,1.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-07,1.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-08,2.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-09,5.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-12,2.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-11,5.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-10,2.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-15,5.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-13,4.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-14,4.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-16,13.0
10175a71-2e47-4786-a60e-53dd1eb31821,2015-04-17,5.0
cf7caec1-880b-4256-990f-430d47d3c154,2015-04-09,1.0
cf7caec1-880b-4256-990f-430d47d3c154,2015-04-08,1.0
cf7caec1-880b-4256-990f-430d47d3c154,2015-04-07,3.0
cf7caec1-880b-4256-990f-430d47d3c154,2015-04-10,2.0
cf7caec1-880b-4256-990f-430d47d3c154,2015-04-11,1.0
cf7caec1-880b-4256-990f-430d47d3c154,2015-04-12,1.0
