mbid,day,mentions
83836b30-5815-46e1-99d8-612daf9b5109,2015-04-07,1.0
83836b30-5815-46e1-99d8-612daf9b5109,2015-04-09,2.0
83836b30-5815-46e1-99d8-612daf9b5109,2015-04-14,1.0
83836b30-5815-46e1-99d8-612daf9b5109,2015-04-11,2.0
83836b30-5815-46e1-99d8-612daf9b5109,2015-04-15,1.0
83836b30-5815-46e1-99d8-612daf9b5109,2015-04-16,1.0
761427f9-24e8-45d4-ae62-901789c257b8,2015-04-09,2.0
761427f9-24e8-45d4-ae62-901789c257b8,2015-04-13,2.0
761427f9-24e8-45d4-ae62-901789c257b8,2015-04-10,2.0
761427f9-24e8-45d4-ae62-901789c257b8,2015-04-08,5.0
761427f9-24e8-45d4-ae62-901789c257b8,2015-04-17,3.0
761427f9-24e8-45d4-ae62-901789c257b8,2015-04-11,3.0
761427f9-24e8-45d4-ae62-901789c257b8,2015-04-16,2.0
761427f9-24e8-45d4-ae62-901789c257b8,2015-04-14,5.0
06745db3-a2bc-4131-8a9d-0cbdc25b494a,2015-04-11,1.0
06745db3-a2bc-4131-8a9d-0cbdc25b494a,2015-04-08,1.0
06745db3-a2bc-4131-8a9d-0cbdc25b494a,2015-04-13,1.0
06745db3-a2bc-4131-8a9d-0cbdc25b494a,2015-04-14,1.0
06745db3-a2bc-4131-8a9d-0cbdc25b494a,2015-04-17,1.0
d1607eb2-9778-491a-a5e7-8bfdc44d11b3,2015-04-09,1.0
d1607eb2-9778-491a-a5e7-8bfdc44d11b3,2015-04-14,1.0
e67a8c12-cbd2-44a9-b4c8-560febb85e0d,2015-04-13,1.0
e67a8c12-cbd2-44a9-b4c8-560febb85e0d,2015-04-10,2.0
e67a8c12-cbd2-44a9-b4c8-560febb85e0d,2015-04-14,4.0
e67a8c12-cbd2-44a9-b4c8-560febb85e0d,2015-04-15,1.0
e67a8c12-cbd2-44a9-b4c8-560febb85e0d,2015-04-07,1.0
e67a8c12-cbd2-44a9-b4c8-560febb85e0d,2015-04-12,2.0
e67a8c12-cbd2-44a9-b4c8-560febb85e0d,2015-04-09,2.0
e67a8c12-cbd2-44a9-b4c8-560febb85e0d,2015-04-08,1.0
