mbid,day,mentions
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-11,2.0
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-15,2.0
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-07,1.0
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-08,2.0
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-09,3.0
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-16,4.0
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-17,2.0
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-13,2.0
71ad8d7d-a973-4b54-b7bb-9d4950add1c2,2015-04-14,2.0
fcab0612-16d4-4c4c-9c06-c8ee918b77f9,2015-04-14,1.0
fcab0612-16d4-4c4c-9c06-c8ee918b77f9,2015-04-16,1.0
fcab0612-16d4-4c4c-9c06-c8ee918b77f9,2015-04-17,1.0
fcab0612-16d4-4c4c-9c06-c8ee918b77f9,2015-04-08,1.0
c330d445-b8c5-4984-bbf2-9c94b8dfad83,2015-04-10,1.0
c330d445-b8c5-4984-bbf2-9c94b8dfad83,2015-04-12,1.0
c330d445-b8c5-4984-bbf2-9c94b8dfad83,2015-04-14,2.0
c330d445-b8c5-4984-bbf2-9c94b8dfad83,2015-04-09,1.0
c330d445-b8c5-4984-bbf2-9c94b8dfad83,2015-04-16,3.0
c330d445-b8c5-4984-bbf2-9c94b8dfad83,2015-04-15,1.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-10,2.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-11,2.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-08,3.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-12,1.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-15,3.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-16,5.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-17,5.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-14,1.0
d1725dfc-40ea-4707-81c3-ca91b4edaa44,2015-04-13,3.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-15,2.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-07,2.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-11,1.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-13,1.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-14,1.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-16,1.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-17,1.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-12,1.0
144a239b-3c65-4a11-b4f1-f64b07f311c4,2015-04-08,3.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-07,2.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-08,7.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-09,3.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-10,4.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-11,3.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-12,1.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-13,2.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-15,1.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-16,1.0
4d6b190d-4700-4241-8fd6-d2f1267cb279,2015-04-14,3.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-08,3.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-07,1.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-09,1.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-10,4.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-16,5.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-12,1.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-13,4.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-15,2.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-14,4.0
989149e3-dfd5-4187-9d4a-aa72fe82dc1f,2015-04-17,1.0
1efa0c7a-711d-419e-bb33-f35c867bc503,2015-04-08,1.0
1efa0c7a-711d-419e-bb33-f35c867bc503,2015-04-13,1.0
1efa0c7a-711d-419e-bb33-f35c867bc503,2015-04-09,1.0
1efa0c7a-711d-419e-bb33-f35c867bc503,2015-04-10,2.0
1efa0c7a-711d-419e-bb33-f35c867bc503,2015-04-16,4.0
1efa0c7a-711d-419e-bb33-f35c867bc503,2015-04-14,3.0
1efa0c7a-711d-419e-bb33-f35c867bc503,2015-04-15,3.0
1efa0c7a-711d-419e-bb33-f35c867bc503,2015-04-17,4.0
d9f1f659-fd24-4b68-bd23-34163fc6d67d,2015-04-14,1.0
731a4977-3c22-404a-93fc-fa82073adefb,2015-04-09,1.0
731a4977-3c22-404a-93fc-fa82073adefb,2015-04-10,1.0
731a4977-3c22-404a-93fc-fa82073adefb,2015-04-11,3.0
731a4977-3c22-404a-93fc-fa82073adefb,2015-04-12,2.0
731a4977-3c22-404a-93fc-fa82073adefb,2015-04-08,2.0
731a4977-3c22-404a-93fc-fa82073adefb,2015-04-16,2.0
731a4977-3c22-404a-93fc-fa82073adefb,2015-04-13,3.0
731a4977-3c22-404a-93fc-fa82073adefb,2015-04-14,2.0
177de095-e18c-4218-b434-671b99a202c3,2015-04-14,1.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-09,2.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-08,2.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-11,2.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-10,2.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-14,2.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-16,2.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-15,2.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-17,1.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-13,3.0
451ddeeb-695b-42be-803d-85796fcd692b,2015-04-12,1.0
d6fd84cc-a5ba-4c35-adca-f9a90d543db2,2015-04-14,1.0
d6fd84cc-a5ba-4c35-adca-f9a90d543db2,2015-04-16,2.0
d6fd84cc-a5ba-4c35-adca-f9a90d543db2,2015-04-15,1.0
230df611-532e-4759-aeb3-368f8d78e54e,2015-04-08,1.0
230df611-532e-4759-aeb3-368f8d78e54e,2015-04-14,1.0
230df611-532e-4759-aeb3-368f8d78e54e,2015-04-12,1.0
04ea7a0d-1e37-4324-8fc9-70185982307c,2015-04-07,1.0
04ea7a0d-1e37-4324-8fc9-70185982307c,2015-04-13,2.0
04ea7a0d-1e37-4324-8fc9-70185982307c,2015-04-15,2.0
04ea7a0d-1e37-4324-8fc9-70185982307c,2015-04-14,2.0
04ea7a0d-1e37-4324-8fc9-70185982307c,2015-04-17,1.0
8233bf51-c222-43b3-9e8b-21a74277f30e,2015-04-14,1.0
377b396b-e832-46a8-96f2-031929017a3e,2015-04-14,1.0
1082c7a5-2f84-4531-8cb9-b31d5087123b,2015-04-14,1.0
1082c7a5-2f84-4531-8cb9-b31d5087123b,2015-04-11,1.0
67163ca0-c68e-427d-bfda-fbed530e39d8,2015-04-13,17.0
67163ca0-c68e-427d-bfda-fbed530e39d8,2015-04-14,1.0
67163ca0-c68e-427d-bfda-fbed530e39d8,2015-04-15,1.0
67163ca0-c68e-427d-bfda-fbed530e39d8,2015-04-17,1.0
