_id,artist,title
aaHJQom9Ahzp8Wtvy,['Paul Taylor'],Tenacity
t7JBrjAdT7CcLFx9s,['Kings of Leon'],Pyro
Mbqi7LsFZpzSWwK2y,['Garth Brooks'],Two Pina Coladas
YPkKm7kkNeNj24qe4,['Drake'],How About Now
MRxCRqKgLBzznbzAR,"['Aaron Marsh', 'The Cinema']",Turn It On
sbF54QuenGk7aC9nT,['PJ Harvey'],Down by the Water
gsL9XtXA68zXHkSue,['Plan B'],Es un secreto
3X5EskLtbrfCLLYNt,['The Smashing Pumpkins'],"Tonight, Tonight"
KSMWEhSHnqcLypTjd,['Bring Me the Horizon'],Blessed With a Curse
FofTPF7S3iBzKb3Aa,['Nightwish'],Alpenglow
Mfvgu8NqyAbXh44Gi,['Trae'],Momma
hdd9CigHZ8kn82N5n,['The Band Perry'],You Lie
ewjfaBfEupPBwh7D2,['Oasis'],Champagne Supernova
pQkGyTzCnDtWtdQ6B,['General Degree'],Signal
3h6vrqr87WW2mQNQP,['Mastermind'],On the Road by Noon
PBvLD2WpRW6Dvdvmf,['Hands On Approach'],Do You Believe It?
xnreDfQ4KCk6cXA3C,['C-Dek'],04-02
zewZt64q8taMEiZZd,['Extremoduro'],Te juzgarán sólo por tus errores (Yo no)
HniK7HaDGWxAEZf5M,['Green Day'],Dirty Rotten Bastards
t8jNHLoJi7vjx7iTA,['The King of Swing Orchestra'],Hooked on Bands Medley
ijGdQYig5r3LsYjqo,['New Order'],Perfect Kiss
GM87N8cHC6Lh7zrNg,['Tanya Stephens'],Big Mack
iauir4ctT7fWbHxRS,['Coolio'],Gangsta's Paradise
96mt2Jq6pEX5j5b6Q,['The Supremes'],My World Is Empty Without You
DY9iyrMAnsg8K3avg,['Travis Scott'],Days Before Rodeo The Prayer
YpiHRYPgsYhMdjPro,['SJD'],Baby You're Oh So
edYiQK2BLKejyQRJ4,['Asaf Avidan & The Mojos'],One Day / Reckoning Song (Wankelmut remix)
pGmiCzpN67Ly5jgow,['Sam Smith'],Lay Me Down
dH948x73fxJiDJe6W,['Paramore'],Misguided Ghosts
4uvxSbRwS4M4DFEPj,['Frankie Paul'],War Is In The Dance
nXwDEaA2DihoHvfNC,['Zero 7'],Simple Science
xY4HLdBBf8bv9pLGr,['Montana of 300'],All I Ever Wanted (feat. Dallas Eli)
d588ZTWwacuyzQbbc,"['Iggy Azalea', 'Wiz Khalifa']",Go Hard or Go Home
HjaDbHGhvZqStoAnk,['The D.O.C.'],It’s Funky Enough
WJ4rwLF8fQkLatbTQ,['Scott Price'],My Laptop
7eqPehEyfnwgipzcj,['P!nk'],Raise Your Glass
gT8gQ8ixaquajroPJ,['Side by Side'],My Life to Live
nkALLp3MP4f26uFuq,['Bon Iver'],re: stacks
qQveH9QTKJQcw8yN3,['Latice Crawford'],Oh Yes He Is
Rka3swtf9sjgxosXg,['Indah Dewi Pertiwi'],Tentang Aku Dan Dia
McFB8nask9BbCM9eZ,['Sugar'],If I Can’t Change Your Mind
