_id,artist,title
YpCDYsZSDHrACXzym,['Mary J. Blige'],Mary Jane
3Ww8vtzq6tv297Fgm,['Alocodaman'],How I Roll
bkh7KzbaP7yEhEoj3,['Púgiles'],Fuera
qnucPxppkCvJyuRxQ,['Vivian Green'],Superwoman
wYwwRECYccedcfWnh,['Lifehouse'],Everything
QQHuf24WnFeRkK5j5,['Rihanna'],Fire Bomb
QthdkEQqqRv6epmCy,['Los Mier'],Ahora y siempre
BwWFuycXHhazBv5pn,['Anthony David'],Kinfolk
jijhrC7BgTsc2G5Le,['Thirty Seconds to Mars'],Battle of One
sD8t2zXN8FdGj7qLL,['Swamp Dogg'],Sam Stone
HBuuMHm8qhWgb4QvB,['Zhané'],Groove Thang
oTmd5yHRNTXNSeavD,['Kotak'],Aku Percaya Pilihanku
vGDt9NQbviiwwTdD4,['The Fourth'],By A Mad Mind
xPcpqRgSGHxx6y8on,['Nikki'],Rock normale
4d3egw8ZD8uYQBYfQ,['Erica Campbell'],A Little More Jesus
oxLttEJPu8X2jdtFS,['Whitesnake'],Here I Go Again
2icZgFCLNhpCzBEHS,['Sister Nancy'],Bam Bam
YWPnkijgW8x6BrCLx,['END: The DJ'],Fires on the Shore (Touched by Stahlnebel & Black Selket)
bj52ApiqXyn6sheBA,['Grace Jones'],I'm Not Perfect (But I'm Perfect for You) (The Right on Time edit by Larry Levan)
uhyt8LqJMetfxorSg,['Lionel Richie'],Ballerina Girl
kEA5Pkrr6h8HtTbS8,['Alex Clare'],Too Close
BEuBd9JKkA7NmGvoN,['Tatau'],O Que Tinha Que Dar
QQ8TaEZuhggNgwjqa,['Cledus T. Judd'],I'm Going Ugly Early Tonight
Nnr5ABTFcotirB7vf,['Nelson'],(Can't Live Without Your) Love and Affection
inSvhsqPg576onLF7,['Nikki Louder'],Past Is a Trap
fcTKyNfHEtCKuJPjN,"['DJ Snake', 'Lil Jon']",Turn Down for What
2EfPBM2MZtuc5RoMm,['The Charlie Daniels Band'],The Devil Went Down to Georgia
mwztNAPaZ8PzfrmoD,"['Ariana Grande', 'Major Lazer']",All My Love
vHXY7hLckfCn4YPiE,['Deniece Williams'],Let’s Hear It for the Boy
9eSQWmFgoYxJshpLm,"['2 Chainz', 'Bruno Mars', 'Major Lazer', 'Mystic', 'Tyga']",Bubble Butt (remix)
mMCPEN9KHb3C8kd9P,['Fly Project'],Toca Toca (radio edit)
jjqgbcBFBund3mdaC,['Beyoncé'],7/11
x7yWymtP2s6Y9t7yJ,['Tom Petty and the Heartbreakers'],U Get Me High
DecpMs956JkvkeBRW,['Christian McNeill & Sea Monsters'],Best In the Business
ZYdAj6xQeXPgnvSan,['Dropkick Murphys'],I’m Shipping Up to Boston
sbBjznotWpwjASWEg,['The Weeknd'],Earned It (Fifty Shades of Grey)
tke2ubcNANJJXM4gu,"['Fabolous', 'Kevin Hart']",Cinnamon Apple
2AncK6Nrerv2GTLAC,['JAY Z'],The Ruler’s Back
u9vRX3QYsqYoz2axb,['Love of Lesbian'],Segundo asalto
t99mFcsFvxh2QZhsf,['Les Bantous de la Capitale'],Makambo mibale
nZPCvZZZ64SenaCa2,['Kendrick Lamar'],King Kunta
6cEsnaRxJx57mvhvo,['Enya'],Willows on the Water
6QjneJzPQYi5G9g8H,['?????'],Innocent teens
fC5BG77Q3PqRhKTST,['Flu'],The Attack on the Baby Jesus Bong
ziQ63DY3PAsEKuckk,"['Big Sean', 'Kanye West']",All Your Fault
6fNBJhDKS3QfHvuNP,['Two Armadillos'],Nostalgia
nPK7PPotdtGmgP77B,['Pretty Poison'],Catch Me I'm Falling
9qfGrAJ4bkSGXttG7,['LeToya Luckett'],Torn
Qy4Dmdk967cHjb4uC,['Incubus'],Wish You Were Here
MMpzKkRhCeQnnqsAL,['Freddie Hart'],Easy Lovin'
KyrJ4gHjbS2G4hzWy,['Red Hot Chili Peppers'],"Mommy, Where’s Daddy?"
dih4iSNQEFETsXhLW,['???'],?? ??
4Xv59HeQWzwi7gNxs,['Afgan'],Terima Kasih Cinta
x2w29nLCPvqFoDZrA,"['A*M*E', 'Duke Dumont']",Need U (100%)
gsgf922HQdQEomJSY,['Boney James'],Backbone
Aqq6ZDdaHSkGytMQW,['This Bike Is a Pipe Bomb'],We Shall Not Be Moved
2bhiimn52zkBY3CR5,['Yunel Cruz'],Ay amiga
vQqbr7tQ7Ap4fodgp,['Jack Johnson'],Banana Pancakes
bKLWSikuChoJGEpbq,"['Eric Donaldson', 'Lee “Scratch” Perry', 'The Upsetters']",In the studio listening to the Upsetter Radio Show on J.B
pnKDqDKabvTAjZw6J,['Gucci Mane'],Cash Shit
NnbvEJY53SreDRQPy,['Jack Wall'],The Illusive Man
SfTErP7XRdAxD6Jfk,['·Y·'],Tú y yo
GSFDPuW3wE8vTJ4gB,"['Chief Keef', 'DP Beats']",Runnin
q7ka9PhoGNJJkck4n,['America'],Lonely People
yXHCgSAmK6f8mBiwB,['Arlindo Cruz'],Meu Lugar
REoRukPj6MSnJLKo7,['Leslie Grace'],Be My Baby
agEWomHtvqCqCBXtm,['The Kooks'],Murderer
pwb9vwBQ2CbWgpozz,['Run the Jewels'],Oh My Darling Don’t Cry
GYeMSSFgucNupth5m,['Ninja McTits'],I Know You Guys Are Just Bothering Me Because I Decided to Make a Secret Account Where I Submit Stuff to Not Get Pestered by You and Although Most of 400+ Releases Submitted by That Account Are Done 100% Correctly There Are Some With Missing Bitrate And/Or Non-Capitalized Titles That Very Rarely Ever Get Comments to Fix It or How It Will Be Removed or It Has Been Removed and I Don't Submit Non-Capitalized Stuff Being Lazy I Enter It in That Way Because That's How It Is on the Release and I Have Seen Releases on Discogs With Titles That Are Incorrectly Capitalized That Are Categorized as Correct Such as http://www.discogs.com/Autechre-Exai/master/519732 And http://www.discogs.com/Autechre-Quaristice/master/2472
h8qRFApfBPuABZbkq,['Britney Spears'],Oops!...I Did It Again
BFsXMszaWoW4vXSKD,['Lenny Kravitz'],It Ain't Over Till It's Over
GXjvEJHpGSKMgLzv6,['The Band Perry'],Hip to My Heart
gFvonhpji9FchnPSu,['Bruno Mars'],Just the Way You Are
7NxNPRshepp9k2Cwo,['I Voted for Kodos'],Just Want You To Know
G398ysEYs2acuX55f,['Andy Burrows'],As Good as Gone
2Y9AH7KLbJ6nnNt5y,['Juice Newton'],Queen of Hearts
MYtRPY56EZmCQfjAy,['Melly Goeslaw'],Ku Bahagia
3cMvNeHrCW5oaLsfW,['La Roux'],Bulletproof
QjADoAjhCDbvjFr4q,"['Charlie Puth', 'Wiz Khalifa']",See You Again
pSntdQ7BfHNyrej7S,['The Undisputed Truth'],Walk on By
XRJasBmzmXyA5Z4z5,['Apollo 100'],Joy
tDQzKHQeGmHv8ubbZ,['Stacy Lattisaw'],Jump To The Beat
Wj4eyk9cBm6FDuL3C,['J.R. Writer'],Beast Mode
3zJh6hQHiepX5qcZx,['Martha Reeves and The Vandellas'],Jimmy Mack
QjHqaoPG28CTch8vW,['Chief Keef'],On My Momma
oNbofaPsEwh9ALNPR,['Trinity Garden Cartel'],The Ghetto My Hood (remix)
kYebNBS4XCx6SfoJq,['Eli Young Band'],Crazy Girl
NRBZSHrbFiYyKLqRN,['Jefferson Starship'],Jane
MnrQoX5pPyYYH98af,['Traffic'],Feelin’ Alright?
cqQfNA6oBsBGZK3tv,['Fly Project'],When You Cry (DJ Tom Boxer remix)
LPLLkH4WfXq48yNvu,['2PM'],Crazy In Love
vFwgcCGmv4XqzTdPf,['Jimi Hendrix'],Little Wing
7vXDrxHLjT2WgEQM5,['The Animals'],Cheating
zgJzWCshgrqcRs6om,['Lord Huron'],Fool for Love
izbCJ9sRe7g6nxS5r,['Passenger'],Let Her Go
mK6xZxu3huAHHSwkE,['The Menzingers'],On the Impossible Past
PMfcah3mKWwJb9895,['Crooked Path'],Young Playa
ujxKsyGJkCrnpSs5A,['Taylor Swift'],Blank Space
qzPozWknp6XvuNq5u,['Mister and Mississippi'],We Only Part to Meet Again
mbLAerRL6KdxchCih,"['Chris Botti', 'Renee Olstead']",Pennies From Heaven
boRHnmy86q2DTxEwR,['Dido'],Hunter
s6qrvw7xWywYNoGso,['Anita Baker'],Caught Up in the Rapture
RYbuZnpkuTfZ7qh3S,['A.K.I.PRODUCTIONS'],G&A.K.I.'05('08 MIX)
TDpzdbJrKBigMCRYc,['Carpenters'],Bacharach/David Medley: Knowing When to Leave / Make It Easy on Yourself / (There's) Always Something There to Remind Me / I'll Never Fall in Love Again / Walk on By / Do You Know the Way to San Jose
yk47YZKCe6Ei6iHeB,['Kid Coconutz'],Needed Moonlight
ovQWy3LKDDdgGfX87,['Jimmy P.'],Aguarela
8z9FSYk2hAsce5hTv,['Christina Aguilera'],You Are What You Are (Beautiful)
8nchwCWYQrk36gp6p,['Creedence Clearwater Revival'],Run Through the Jungle
NsimByZ4D92eh8PfX,['OneRepublic'],Feel Again
hwSppaG7SWpJEr5ia,['Slaves on Dope'],So Clear
YZr5kLhrBkyHdEEHH,['Andrew Belle'],Wants What It Wants
3HLkm5pqABbQ8znXH,['Mumford & Sons'],Believe
bhQLnR9G8skFHHpHz,['Mercy'],Tell Me
T5nhRbgZYNA9MhYKN,['Pebbles'],Mercedes Boy
5pQv9EJ2QQzpc3uPt,['My Baby Wants To Eat Your Pussy'],Boy
PJxPvHWXwnC5yvSxe,['Los Prisioneros'],Tren al sur
xtxiq4rEcXy9fq9mt,['Omar'],Confection
kf6rB8Ezo2dFfQfg4,"['Juicy J', 'Usher']",I Don’t Mind
hmzvCL9dRAEQ7jX7J,['At The Threshold'],Faith & Sight
hMkMNtPyKDdXbhzL6,['Alesana'],And They Call This Tragedy
zC6WvoKdhPdpW6sxj,['Cradle of Filth'],One Foul Step From the Abyss
vrGysvLdfBbvCKjYS,"['Beats and Styles', 'Justin Taylor']",Friend (Feenixpawl remix)
8RGnxnX5tYroMygWv,"['Nas', 'Rick Ross']",Triple Beam Dreams
zJJh4ghojsXiNQE44,['Against Me!'],New Wave
e7q8prqCLCAchu2jh,['Trey Songz'],Slow Motion
Adtbr6Nw6Rtk56hDP,"['The Chainsmokers', 'sirenXX']",Kanye
PADAMKLL467oW6XFg,"['Charlie Puth', 'Wiz Khalifa']",See You Again
njusW2Fm8p2uAmoSY,['Jonathan Nelson'],Dwell In Me
bmYrHFa4S32N6YYGT,['Toni Braxton'],Un-Break My Heart
j4kP4EKGvniw6EhFL,['Kid Kenobi'],Move That Body
y3MPXsKtfXRh4AoZA,['Taylor Swift'],Shake It Off
N7KkdFuNB43YgaoCE,"['Calle 13', 'Silvio Rodríguez']",Ojos color sol
mjwxbPmyAxiasbDW4,['Leela James'],Fall for You
J7h7esSjHCGp9W7Lb,['stereoRYZE'],Who's Dropped Travi$ Scott
dzhrQ2K2J6nHDfGj6,['Behemoth'],Blow Your Trumpets Gabriel
TXrPxyE99uNfLRMnk,['Peter Gabriel'],In Your Eyes
HRvzezfyNLtm69Sh6,['Mad at the World'],In My Dream
EXtREAadS4pNkpn2G,['Sparkadia'],Mary
SxqmqH6S7ZWAfRaqH,['MKTO'],Classic
zyJDm4F2uQpSvnRZK,['Klaxons'],It’s Not Over Yet
cmZd9fZCxJzuTAJJ9,['Nicki Parrott'],Waltzing Matilda
AkTnQhRd2JSzCKiDT,['Wanessa'],Não resisto a nós dois
HZEweZPC7WKJNPeBY,['NRBQ'],Ridin' In My Car
NXccma594tC3HTKYa,['Avril Lavigne'],Why
CenmXSBPv4TquqkNr,['Drake'],6PM In New York
XAEKJBgStfLGKwveD,['Newsboys'],That Home
ftg2xTD4iowZSwyP3,['Nickel Creek'],Ode to a Butterfly
2BsNC2vKoAZKEikmp,['Death Grips'],I've Seen Footage
msg6NqAY9Jy75JPdB,['Usher'],U Got It Bad
HNKS3dh6EaBqKNfCh,"['No More Babylon', 'Poupa Claudio']",Regrets
jYxzyuyvmkRrzoxS3,['Steven Curtis Chapman'],All About Love
9JzcsDQgvXqbEF46M,['Hardline'],Hot Cherie
AJQPqXke8ho7BwZqb,['Big K.R.I.T.'],Return of 4eva (feat. Big Sant)
GygHign9KPwzSB8Yj,['Anthony Hamilton'],Charlene
c7aTAR2ypASModDiY,['Modem'],What It Feels Like To Discover Why I Shouldn't Have Trusted You
aMvXhpu7epzae4zby,['Tory Lanez'],Selfish (York University)
dRe7CnhrZKXESjmED,['Fred Drake'],I Used to Dream About This
L3qMxBYQ28t8vH2N4,['Bunga Citra Lestari'],Wanita Terbahagia
T9TuK2anJ3AGdspRR,['Monica'],So Gone
6cqvArkPigT5LrryH,['Tulus'],Bumerang
fHzZKKcoLiPgv7aFq,['Jack Wall'],Humans Are Disappearing
8xyigykWBNJhXATs6,['Put Down That Science Pole'],God Is Dead
LgDPraXwHFRD57Z7A,['Krisdayanti'],Di Persimpangan Dilema
Y7ATzwNcGD88spPgE,"['Alesso', 'Tove Lo']",Heroes (we could be)
irwhzGZeHW4oyfNF9,['Alice Cooper'],Bed of Nails
TxD2mosabkZvAcWL9,['RONDE'],Run
KdE6HBtfs2M5fvLia,"['Ke$ha', 'Pitbull']",Timber
QwrsH4p3g3CEmsrsK,['Los Cafres'],Isn't She Lovely
5SnNmQ3Nod4PrvbHH,['Nico & Vinz'],In Your Arms
aZThgvyQSvZKPCivh,['Story of the Year'],The Antidote
9Fr3q7Lw4tq8tgTzy,['Nirvana'],Rape Me
bHM9kAPmJoQ2mvdGT,['The Skygreen Leopards'],All My Girls Are Singing
FHsZrdzHL66Rd4Te3,['The S.O.S. Band'],Just Be Good to Me
gLbWugBWZXC8BetD2,"['Phillips, Craig & Dean']",Friend of God
LQrxPgPx8pudg8zE3,['Mr. Hurley & Die Pulveraffen'],The Legend of Davy Jones
strW66hSELZW22z3H,['[unknown]'],Secret Track 12 (Thanks!)
wpR4fabPtrkkBDsJZ,['????'],??????
8KCgKvrGFrjL279tR,['Sasha'],Goodbye
3dbF9SHDddBDBftgJ,['NRBQ'],Ridin' In My Car
PPgvoeLmYjPYqdrTf,['Guns N’ Roses'],Sweet Child o' Mine
7245FH9C9Bz9Sm8uY,"['Enrique Iglesias', 'Nicky Jam']",El perdón
t7r4KwWFnLudQdsXN,['Cliff Adams Singers'],Broken Doll / Shine on Harvest Moon / Show Me the Way to Go Home / California Here I Come / By the Beautiful Sea
GFCBYLqXbtL2QX4Qz,['James Last'],House of the Rising Sun
zgNuh5Z2ZhknbvMm8,"['Blood, Sweat & Tears']",Variations on a Theme by Erik Satie (1st and 2nd Movements) (4.0 mix)
mk2embsNcFzXnXrGA,['Dwele'],I'm Cheatin'
5KBd3DFSMreNGKJ6M,['Tyga'],Lap Dance
588077908348039169,['Tink'],Treat Me Like Somebody
