_id,artist,title
588057781372071937,['Royal Tailor'],Making Me New
588057786694664195,"['Charlie Puth', 'Wiz Khalifa']",See You Again
588057788133351424,['Adele'],Rumour Has It
588057789496430592,['Olly Murs'],Seasons
588057790855438338,['Five Finger Death Punch'],Remember Everything
588057790943485953,['The Beatles'],Yesterday
588057793556537344,"['Hardwell', 'Jason Derulo']",Follow Me
588057794542182402,['Lana Del Rey'],National Anthem
588057810396647425,['Roch Voisine'],Ce qu'il me reste
588057811835301889,['Drake'],What's My Name
588057816352587776,['Avicii'],The Nights
588057826456694784,['???'],And You and I
588057834325204994,['Beverly Crawford'],Thank You For All You've Done
588057841254137856,['Ciara'],I Bet
588057849839935488,['Bei Maejor'],Drinks on Me Ft. Trey Songz (Co-Prod By ...
588057855019917312,['Benjamin Clementine'],Cornerstone
588057866860437504,['Santa Geração'],Toca-me
588057871440617474,['f(x)'],Airplane
588057881225867264,['Natiruts'],"Sorri, sou rei"
588057880655454208,['The Cure'],Faith
588057884690403331,"['Isaiah Rashad', 'SZA']",Ronnie Drake
588057886879830018,['Andy Williams'],I Can't Get Used to Losing You
588057895008337920,['All?4?One'],So Much in Love
588057899542413313,['Joe Nichols'],Hard To Be Cool
588057902453227520,['Get Get Go'],... Doesn't Make You a Hero
588057903266983936,['Sezen Aksu'],Geri Dön
588057904621740034,['Marc-André Hamelin'],"On the overgrown path, Book 1: No. 7. Good night!"
588057905640906752,['Florence + the Machine'],"How Big, How Blue, How Beautiful (demo)"
588057906169380864,['Carnival Youth'],Traffic Lights
588057921881296898,['Kayahan'],Emrin Olur
588057925916168192,['Sezen Aksu'],Geçer
588057928067842049,['No Doubt'],New & Approved (New remix)
588057928801869826,['Rihanna'],Bitch Better Have My Money
588057933335945216,['Atlantic Starr'],Always
588057936682967041,['Michael Jackson'],Billie Jean
588057938482356224,['Jimmy P.'],Storytellers
588057943058309121,['Gretchen Wilson'],Redneck Woman
588057944413048832,['Doug Supernaw'],What'll You Do About Me
588057946153742339,['Kissing the Pink'],We Are Your Family
588057955498491904,['Ellie Goulding'],Love Me Like You Do
588057955976773635,['Young Fathers'],Old Rock n Roll
588057963753054208,['Sir Arthur Bliss'],"Meditations on a Theme by John Blow: Introduction. ""The Lord is my Shepherd"" - ""I will fear no evil"""
588057965694943232,['Britney Spears'],…Baby One More Time
588057977124483072,['Michale Graves'],Dig Up Her Bones
588057978940559360,['Placebo'],Fuck U
588057982619033601,['Bobby Brown'],Don’t Be Cruel
588057993561899009,['Y?ld?z Tilbe'],Vursalar Ölemem
588058009789722624,['Tom Felton'],If That's All Right With You
588058041054076930,['Let 3'],Fahrenheite (live)
588058050352779264,['Vaux'],Are You With Me
588058059613704192,['Neve'],SkyFall
588058062591807490,['Nelio Guerson and Carlos Guerson'],Mulher Perfeita
588058075648684032,['Men of Standard'],Power
588058096397869056,['City Boys International'],Ahoofe Di Wo Ko
588058108267782144,['Elio Riso'],Pain in the Ass
588058110260072448,"['Bruno Mars', 'Mark Ronson']",Uptown Funk
588058110536876032,"['Mr. Belt', 'Oliver Heldens', 'Wezol']",Pikachu
588058114659844098,['America'],Don’t Cross the River
588058122478100481,['Forever Jones'],He Wants It All
588058127272116224,['Sezen Aksu'],Onursuz Olmas?n A?k
588058133781676032,"['Ben Harper', 'Relentless7']",Lay There & Hate Me
588058136814215168,['Modern Baseball'],Your Graduation
588058138206679041,"['Iggy Azalea', 'Wiz Khalifa']",Go Hard or Go Home
588058141537001472,['David M. Quinlan'],Não há Ninguém como Tu
588058142426140674,['Aaliyah'],Rock the Boat
588058143109869568,['Tom Jones'],If I Only Knew
588058151020277761,['The Weekend'],Wicked Games
588058152010194945,['Cem Adrian'],Sonbahar
588058158725214208,['The Weeknd'],Earned It (Fifty Shades of Grey)
588058169626259456,['Eve 6'],Not Gonna Be Alone Tonight
