mbid,day,mentions
0a4d269b-4560-460b-8600-e2c9364fef6e,2015-04-15,1.0
0a4d269b-4560-460b-8600-e2c9364fef6e,2015-04-14,2.0
a319cc44-63e4-4081-a06b-997eb0674459,2015-04-16,1.0
a319cc44-63e4-4081-a06b-997eb0674459,2015-04-14,1.0
82ba247b-7d89-43f5-a128-b131a4cac8ec,2015-04-14,1.0
059b02b1-d55b-4e70-a72b-ed0bdb29443d,2015-04-15,1.0
059b02b1-d55b-4e70-a72b-ed0bdb29443d,2015-04-17,2.0
059b02b1-d55b-4e70-a72b-ed0bdb29443d,2015-04-08,1.0
059b02b1-d55b-4e70-a72b-ed0bdb29443d,2015-04-14,1.0
059b02b1-d55b-4e70-a72b-ed0bdb29443d,2015-04-09,1.0
059b02b1-d55b-4e70-a72b-ed0bdb29443d,2015-04-11,1.0
059b02b1-d55b-4e70-a72b-ed0bdb29443d,2015-04-16,1.0
38a7afaa-4e6f-48f8-9218-df1a28bd601d,2015-04-14,1.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-07,2.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-08,5.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-09,8.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-10,10.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-12,6.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-15,7.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-11,3.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-13,8.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-14,3.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-17,2.0
fe295f4e-4e91-49a1-86fd-691df1e63bec,2015-04-16,5.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-11,3.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-13,9.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-09,6.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-10,5.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-15,6.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-14,5.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-07,2.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-16,10.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-08,5.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-12,6.0
30a6feb0-e400-44a6-894d-02eb22d7a45a,2015-04-17,3.0
39fc36c2-fcc2-46f5-8e9c-46c2eb3296ed,2015-04-07,9.0
39fc36c2-fcc2-46f5-8e9c-46c2eb3296ed,2015-04-08,44.0
39fc36c2-fcc2-46f5-8e9c-46c2eb3296ed,2015-04-09,36.0
39fc36c2-fcc2-46f5-8e9c-46c2eb3296ed,2015-04-10,36.0
39fc36c2-fcc2-46f5-8e9c-46c2eb3296ed,2015-04-12,25.0
39fc36c2-fcc2-46f5-8e9c-46c2eb3296ed,2015-04-11,23.0
39fc36c2-fcc2-46f5-8e9c-46c2eb3296ed,2015-04-13,51.0
39fc36c2-fcc2-46f5-8e9c-46c2eb3296ed,2015-04-14,41.0
