mbid,day,mentions
8e5fae4e-2db9-4223-875c-76c3a9e70701,2015-04-14,1.0
5225429c-17eb-4303-9af9-0ff80e4524e2,2015-04-11,1.0
5225429c-17eb-4303-9af9-0ff80e4524e2,2015-04-08,1.0
5225429c-17eb-4303-9af9-0ff80e4524e2,2015-04-10,1.0
5225429c-17eb-4303-9af9-0ff80e4524e2,2015-04-16,1.0
5225429c-17eb-4303-9af9-0ff80e4524e2,2015-04-14,1.0
5225429c-17eb-4303-9af9-0ff80e4524e2,2015-04-17,1.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-14,2.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-08,3.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-13,1.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-10,1.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-15,1.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-09,1.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-16,3.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-11,1.0
f73ea14a-8ab8-439b-bd48-53869ef0db5e,2015-04-17,2.0
14da4968-dd8f-4c33-a09f-82eb92cd3e7c,2015-04-14,1.0
ac2c905d-9070-48ce-ac11-f0fd04a70333,2015-04-12,1.0
ac2c905d-9070-48ce-ac11-f0fd04a70333,2015-04-13,3.0
ac2c905d-9070-48ce-ac11-f0fd04a70333,2015-04-15,1.0
ac2c905d-9070-48ce-ac11-f0fd04a70333,2015-04-10,1.0
ac2c905d-9070-48ce-ac11-f0fd04a70333,2015-04-14,1.0
ac2c905d-9070-48ce-ac11-f0fd04a70333,2015-04-17,3.0
ac2c905d-9070-48ce-ac11-f0fd04a70333,2015-04-16,4.0
79d2592b-ff55-4aeb-8185-70c1d1ae4e2a,2015-04-14,1.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-07,4.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-08,8.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-09,8.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-11,3.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-10,2.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-12,6.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-13,6.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-14,5.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-16,12.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-15,11.0
c98bd54c-454e-4ad1-aa19-90eed19d07e7,2015-04-17,7.0
82265020-93f1-4ea3-af58-86d385abbf7b,2015-04-09,1.0
82265020-93f1-4ea3-af58-86d385abbf7b,2015-04-14,1.0
1a119a2a-19d1-4074-a891-ff043e1cd544,2015-04-11,1.0
1a119a2a-19d1-4074-a891-ff043e1cd544,2015-04-10,1.0
1a119a2a-19d1-4074-a891-ff043e1cd544,2015-04-08,1.0
1a119a2a-19d1-4074-a891-ff043e1cd544,2015-04-09,1.0
1a119a2a-19d1-4074-a891-ff043e1cd544,2015-04-14,1.0
1a119a2a-19d1-4074-a891-ff043e1cd544,2015-04-12,1.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-11,1.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-07,1.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-10,2.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-08,1.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-09,2.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-13,2.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-14,1.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-12,2.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-15,1.0
6162e3cd-024d-4b07-bbd5-31ea77d14cc0,2015-04-17,2.0
22a0fc63-fd9d-4f50-9704-96945b0a5593,2015-04-14,1.0
22a0fc63-fd9d-4f50-9704-96945b0a5593,2015-04-16,1.0
0e20d64c-de66-4971-a87b-a7d7af2ff6af,2015-04-14,3.0
0e20d64c-de66-4971-a87b-a7d7af2ff6af,2015-04-10,1.0
0e20d64c-de66-4971-a87b-a7d7af2ff6af,2015-04-11,1.0
0e20d64c-de66-4971-a87b-a7d7af2ff6af,2015-04-16,3.0
0e20d64c-de66-4971-a87b-a7d7af2ff6af,2015-04-15,2.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-07,2.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-08,2.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-09,5.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-10,3.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-11,3.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-12,3.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-13,2.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-14,2.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-15,2.0
09916f79-2f4d-4d23-81a8-df136d6ffc8d,2015-04-16,1.0
4ae5bc4f-323c-43d5-bfca-af619a34cc6b,2015-04-14,1.0
56966e38-bfd4-4c93-a468-4a56ab62dffb,2015-04-14,1.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-10,3.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-08,4.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-09,4.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-12,2.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-11,1.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-13,8.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-14,4.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-15,19.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-17,15.0
66583872-57e6-4067-9575-1225b5f9f7f2,2015-04-16,23.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-08,2.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-12,3.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-09,2.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-10,1.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-11,1.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-14,2.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-13,2.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-15,2.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-16,3.0
baf17647-f230-4f59-858f-6f10fe35d075,2015-04-17,2.0
dae2bd85-bd10-4cac-87ca-45fa26dd04df,2015-04-08,1.0
dae2bd85-bd10-4cac-87ca-45fa26dd04df,2015-04-13,3.0
dae2bd85-bd10-4cac-87ca-45fa26dd04df,2015-04-07,1.0
dae2bd85-bd10-4cac-87ca-45fa26dd04df,2015-04-11,1.0
