_id,artist,title
588008496911806467,['James Fortune & FIYA'],Live Though It
588008500317544449,['Wings'],Aku Pun Tahu
588008500594401280,['This Eternal Cold'],Too Dead to Dream
588008516163661824,['Solo'],Luv-All-Day
588008523151335425,['Hurts'],"Blood, Tears & Gold (Lotus Eaters on My Mind remix by Pantha du Prince)"
588008526917857281,['Good Charlotte'],Dance Floor Anthem
588008540058562560,['Sycamore Age'],How to Hunt a Giant Butterfly
588008546308087809,['Lefthanded'],Ku kehilangan cinta tiga dimensi
588008548531044352,['Train'],Calling All Angels
588008560950390785,['S.A.R.S.'],Neka te kraj mene
588008565849399297,['Cem Adrian'],Mutlu Y?llar
588008578902061056,['Mumm-Ra'],She's Got You High
588008580336455681,['Erykah Badu'],Next Lifetime
588008585407365121,['Gökhan Türkmen'],Dön
588008594496421888,['Daft Punk'],Television Rules the Nation / Crescendolls
588008594978840576,['Wale'],The Girls On Drugs
588008603979644928,['Duman'],Deli
588008606303420418,['Haddaway'],What Is Love
588008607477825536,['AC/DC'],Thunderstruck
588008612401963011,['Manika'],Vegas Party (Jump Smokers Remix)
588008617481211904,['Golden Earring'],Radar Love
588008624959713280,['Diego Torres'],Abriendo caminos
588008625827790849,['Anderson .Paak'],Drugs
588008631553159170,['Dick Dale'],Bandito
588008633046323202,['The Whispers'],Rock Steady
588008634149429250,"['Myles Kennedy and The Conspirators', 'Slash']",Anastasia
588008645402714113,['Ellie Goulding'],Love Me Like You Do
588008648825303040,['Ray Vanderby'],Steel Utopia (full mix)
588008649467031552,['All We Are'],Keep Me Alive
588008651371241472,['Seyyâl Taner'],Seni Çok Özledim
588008653069877249,['Touché Amoré'],Home Away From Here
588008654600851456,['Banda do Mar'],Dia Clarear
588008658707083268,['Paulina Rubio'],Dame otro tequila
588008665610858496,['Wisin & Yandel'],En la disco bailoteo
588008666030284801,['Jagged Edge'],Love Come Down
588008687475785728,['The Glitch Mob'],Bad Wings
588008688935383040,['deadmau5'],Animal Rights
588008690143338496,['Madeon'],You're On (feat. Kyan)
588008709181276160,['Cem Adrian'],Anlad?m
588008719147003906,['Kotiteollisuus'],± 0
588008727275565056,"['Pierre Boulez', 'The Cleveland Orchestra']","La Ville d'en haut, I/56"
588008728785461248,['Fettah Can'],Milat
588008729561399296,['Rico Love'],He Got Monry Feat. Future
588008734200352768,['New Bomb Turks'],Grifted (live on WFMU)
588008744061112320,['Mary Chapin Carpenter'],Shut Up and Kiss Me
588008745399123970,['Müslüm Gürses'],Affet
588008751334064128,['Bullet for My Valentine'],A Place Where You Belong
588008751740952576,['Feeding Like Butterflies'],Jack
588008752479129600,['Prince Royce'],My Angel
588008754710478849,"['Booba Roots', 'Mr Zebre']",Tlalok
588008773291274241,['Imagine Dragons'],Demons
588008776466333696,"['Bruno Mars', 'Mark Ronson']",Uptown Funk
588008779112919041,['[unknown]'],"Animals, Lions, Lions With Insect Chorus in Tropical Evergreen Forest at Dusk, Abuko Nature Reserve, the Gambia"
588008781210058752,['Gökhan Tepe'],Birkaç Beden Önce
588008786515857410,['P!nk'],Raise Your Glass
588008786830438400,['Dilated Peoples'],Friction
588008791725252608,"['Big Data', 'White Sea']",The Business of Emotion
588008797198770176,['Killer Be Killed'],Face Down
588008798637309952,['Fall Out Boy'],"Sugar, We're Goin Down"
588008807634182144,['Josh Turner'],Why Don't We Just Dance
588008809957818369,['Fredy Massamba'],Unity (feat. Tumi Molekane)
588008819252457472,['The Guess Who'],Share the Land
588008820233867265,['Kate Bush'],Wuthering Heights
588008824667267072,['U2'],Every Breaking Wave
588008824755384321,['White Lion'],Broken Heart
588008832300883968,['Yellowjackets'],Revelation
588008835031248896,"['DJ Khaled', 'Fat Joe', 'Poo Bear']",Get It for Life
588008836423876608,['Shaggy'],Can't Fight This Feeling
588008845613670400,['maNga'],Her A?k Ölümü Tadacak
588008851036905473,['?rem Derici'],Sevgi Olsun Ta?tan Olsun
588008853775720448,['Nirvana'],Something in the Way
588008865758838785,"['Beyoncé', 'Nicki Minaj']",Flawless (remix)
588008868921352192,['Megan Mullally and Supreme Music Program'],Lonely at the Top
588008892287868929,['Poets of the Fall'],Daze
588008905315323904,['Pera'],Sevdi?im Kad?n
588008906749825025,['Ferdi Özbe?en'],Dilek Ta??
588008906682687489,['James Talley'],We’re All One Family
588008919273906176,['Lil Bibby'],Know Somethin' (Feat. Lil Herb) [Prod. By DJ L]
588008942183325698,['Montana of 300'],Air Jordan
588008943139610627,['Bastille'],Bad Blood
588008944079077376,"['A. G. Cook', 'Danny L Harle', 'GFOTY', 'Lil Data', 'Nu New Edition', 'kane west']",PC Music x DISown Radio
588008953197527040,"['Bruno Mars', 'Mark Ronson']",Uptown Funk
588008954170605569,['Jah Cure'],Forever
588008981039296513,['Gil Scott-Heron'],When You Are Who You Are
588008982427602945,['Jason Michael Carroll'],That's All I Know
588008987813109760,['Depeche Mode'],The Things You Said
588008987137875969,['Peter Broderick'],The Person of Interest
588008997585846274,['House of Lords'],Havana (studio)
588009003977957380,['Adam Lambert'],Better Than I Know Myself
588009004707803139,['Ninja McTits'],I Know You Guys Are Just Bothering Me Because I Decided to Make a Secret Account Where I Submit Stuff to Not Get Pestered by You and Although Most of 400+ Releases Submitted by That Account Are Done 100% Correctly There Are Some With Missing Bitrate And/Or Non-Capitalized Titles That Very Rarely Ever Get Comments to Fix It or How It Will Be Removed or It Has Been Removed and I Don't Submit Non-Capitalized Stuff Being Lazy I Enter It in That Way Because That's How It Is on the Release and I Have Seen Releases on Discogs With Titles That Are Incorrectly Capitalized That Are Categorized as Correct Such as http://www.discogs.com/Autechre-Exai/master/519732 And http://www.discogs.com/Autechre-Quaristice/master/2472
588009005034930176,['Eagles'],Hotel California
588009011519303681,['Toygar I??kl?'],8 Eylül (Yanl?? Söz Öldürür)
588009013134151680,['The Band of Heathens'],Unsleeping Eye
588009021661126656,['Christian Gospel Choir'],He's Got the Whole World in His Hands
588009021908635648,['The Stanley Clarke Band'],Pop Virgil
588009038580965376,['Cliff Adams Singers'],Broken Doll / Shine on Harvest Moon / Show Me the Way to Go Home / California Here I Come / By the Beautiful Sea
588009039935733760,['Loreen'],Do We Even Matter
588009039851888642,['Joseph Malik'],Diablo
588009050207608833,['John Newman'],Love Me Again
588009050266284032,['Teoman'],Terlemeden Sevi?enler
588009060148105216,['Tears for Fears'],Everybody Wants to Rule the World
588009060353576960,['Little Dragon'],Twice
588009063985844224,['Arma X'],¿Por qué no te callas?
588009064178831360,['The San Jose State University Electro-Acoustic Ensemble'],"Grasping to Comprehend the Oblique, Part 3: Variation on a Theme by La Monte Young"
588009076287733760,['Hypnogaja'],Scorned
588009077814468609,['Hollywood Porn Stars'],Andy
588009080712798208,['Kanye West'],Can’t Tell Me Nothing
588009082361085952,['Chet Faker'],No Diggity
588009088568688640,['Drake'],Madonna
588009090116407299,['Kool G Rap'],G On
588009091001409536,"['D.O.E.', 'Keri Hilson', 'Timbaland']",The Way I Are (One Republic remix)
