mbid,day,mentions
f8d63dd2-9253-4e7b-bd90-71b52d5806a7,2015-04-08,1.0
f8d63dd2-9253-4e7b-bd90-71b52d5806a7,2015-04-12,1.0
f8d63dd2-9253-4e7b-bd90-71b52d5806a7,2015-04-13,2.0
f8d63dd2-9253-4e7b-bd90-71b52d5806a7,2015-04-09,2.0
f8d63dd2-9253-4e7b-bd90-71b52d5806a7,2015-04-10,1.0
f8d63dd2-9253-4e7b-bd90-71b52d5806a7,2015-04-16,1.0
f8d63dd2-9253-4e7b-bd90-71b52d5806a7,2015-04-14,1.0
21d329e6-ea50-4a09-b666-9c83b3b5ade8,2015-04-14,1.0
429d43af-d132-48b3-8370-9ba7491d3e5a,2015-04-09,1.0
429d43af-d132-48b3-8370-9ba7491d3e5a,2015-04-17,1.0
429d43af-d132-48b3-8370-9ba7491d3e5a,2015-04-12,1.0
429d43af-d132-48b3-8370-9ba7491d3e5a,2015-04-13,1.0
429d43af-d132-48b3-8370-9ba7491d3e5a,2015-04-15,1.0
429d43af-d132-48b3-8370-9ba7491d3e5a,2015-04-14,1.0
bfc7a022-c5aa-4d56-854c-8f90454d9114,2015-04-15,1.0
bfc7a022-c5aa-4d56-854c-8f90454d9114,2015-04-12,1.0
bfc7a022-c5aa-4d56-854c-8f90454d9114,2015-04-14,1.0
51d22116-dad8-47bb-bf37-212562633a56,2015-04-08,1.0
51d22116-dad8-47bb-bf37-212562633a56,2015-04-09,1.0
51d22116-dad8-47bb-bf37-212562633a56,2015-04-12,1.0
51d22116-dad8-47bb-bf37-212562633a56,2015-04-13,1.0
51d22116-dad8-47bb-bf37-212562633a56,2015-04-14,1.0
51d22116-dad8-47bb-bf37-212562633a56,2015-04-16,2.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-13,1.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-15,4.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-09,1.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-10,4.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-08,1.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-12,2.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-16,5.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-11,2.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-07,1.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-14,4.0
598863af-2ce2-46ba-89c5-7691b63609fb,2015-04-17,5.0
993000d9-3b0b-4fb1-b2b2-2b26bf58bb72,2015-04-11,1.0
993000d9-3b0b-4fb1-b2b2-2b26bf58bb72,2015-04-12,1.0
993000d9-3b0b-4fb1-b2b2-2b26bf58bb72,2015-04-13,1.0
993000d9-3b0b-4fb1-b2b2-2b26bf58bb72,2015-04-15,3.0
993000d9-3b0b-4fb1-b2b2-2b26bf58bb72,2015-04-14,1.0
993000d9-3b0b-4fb1-b2b2-2b26bf58bb72,2015-04-16,1.0
993000d9-3b0b-4fb1-b2b2-2b26bf58bb72,2015-04-17,1.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-07,1.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-09,1.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-08,1.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-10,2.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-11,2.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-14,1.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-15,2.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-13,2.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-17,1.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-12,3.0
f2e03694-8e1e-43af-ace4-35849912edc8,2015-04-16,1.0
4f595ab5-18bb-4007-b17d-066a0e704234,2015-04-11,1.0
4f595ab5-18bb-4007-b17d-066a0e704234,2015-04-13,1.0
4f595ab5-18bb-4007-b17d-066a0e704234,2015-04-08,1.0
4f595ab5-18bb-4007-b17d-066a0e704234,2015-04-14,1.0
4f595ab5-18bb-4007-b17d-066a0e704234,2015-04-16,3.0
