mbid,day,mentions
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-07,2.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-08,1.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-12,1.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-10,2.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-09,1.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-11,3.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-13,4.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-17,2.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-14,3.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-15,1.0
f073dfa6-5e7f-4874-ab4e-acba6919bc78,2015-04-16,1.0
3861dffd-3a16-4ce3-aac5-83a643ecb2cd,2015-04-14,1.0
bf161745-d116-4d04-a04c-242a8e6ac08b,2015-04-14,1.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-08,3.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-10,2.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-09,5.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-12,4.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-11,2.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-13,4.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-15,4.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-16,2.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-14,2.0
5ea4204d-c316-4863-a4ba-466a6e5a2171,2015-04-17,1.0
48033657-7205-4c34-8274-ae24ab4445b1,2015-04-14,1.0
48033657-7205-4c34-8274-ae24ab4445b1,2015-04-16,1.0
2df718fe-ce0c-491b-84b9-75721fc0b864,2015-04-14,1.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-08,2.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-10,1.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-09,3.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-11,2.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-12,2.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-15,2.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-13,3.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-14,2.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-17,3.0
422b2fd7-c237-4605-b827-df2261ad44e5,2015-04-16,2.0
e326a522-676d-4510-b04f-9c1e5e455b0b,2015-04-14,1.0
e326a522-676d-4510-b04f-9c1e5e455b0b,2015-04-15,1.0
e326a522-676d-4510-b04f-9c1e5e455b0b,2015-04-09,3.0
e326a522-676d-4510-b04f-9c1e5e455b0b,2015-04-08,4.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-08,8.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-07,5.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-09,14.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-10,9.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-12,7.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-11,2.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-13,10.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-14,9.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-15,14.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-16,15.0
6a6105a3-4ba8-4c00-a201-380180532252,2015-04-17,13.0
49b36c8e-96f1-4fff-854d-d04b8a899989,2015-04-09,15.0
49b36c8e-96f1-4fff-854d-d04b8a899989,2015-04-07,1.0
