mbid,day,mentions
ce04be15-6499-4ee5-8111-ca1a2aa100da,2015-04-16,1.0
ce04be15-6499-4ee5-8111-ca1a2aa100da,2015-04-09,1.0
ce04be15-6499-4ee5-8111-ca1a2aa100da,2015-04-14,1.0
c3a10c93-269a-4eb0-86bc-e90d8eccae47,2015-04-17,4.0
c3a10c93-269a-4eb0-86bc-e90d8eccae47,2015-04-16,5.0
c3a10c93-269a-4eb0-86bc-e90d8eccae47,2015-04-09,2.0
c3a10c93-269a-4eb0-86bc-e90d8eccae47,2015-04-11,2.0
c3a10c93-269a-4eb0-86bc-e90d8eccae47,2015-04-12,2.0
c3a10c93-269a-4eb0-86bc-e90d8eccae47,2015-04-15,1.0
c3a10c93-269a-4eb0-86bc-e90d8eccae47,2015-04-10,1.0
c3a10c93-269a-4eb0-86bc-e90d8eccae47,2015-04-14,1.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-13,3.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-09,3.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-07,1.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-08,5.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-11,2.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-14,3.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-10,3.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-12,4.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-15,4.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-16,3.0
ce70ddd7-c253-4356-9ed3-b950f032052c,2015-04-17,2.0
aa1b3815-e9fe-4f83-a954-3a5518df2f38,2015-04-16,1.0
aa1b3815-e9fe-4f83-a954-3a5518df2f38,2015-04-08,2.0
aa1b3815-e9fe-4f83-a954-3a5518df2f38,2015-04-14,1.0
aa1b3815-e9fe-4f83-a954-3a5518df2f38,2015-04-15,1.0
aa1b3815-e9fe-4f83-a954-3a5518df2f38,2015-04-09,1.0
aa1b3815-e9fe-4f83-a954-3a5518df2f38,2015-04-13,1.0
aa1b3815-e9fe-4f83-a954-3a5518df2f38,2015-04-17,1.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-08,2.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-09,4.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-12,2.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-10,4.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-15,4.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-11,2.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-13,2.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-14,4.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-16,4.0
837366be-1267-4e1f-bd39-cd073eb47a77,2015-04-17,6.0
b8cd3b7a-18a9-4d4f-be84-bab1a95cf706,2015-04-08,1.0
b8cd3b7a-18a9-4d4f-be84-bab1a95cf706,2015-04-14,1.0
b8cd3b7a-18a9-4d4f-be84-bab1a95cf706,2015-04-09,1.0
b8cd3b7a-18a9-4d4f-be84-bab1a95cf706,2015-04-15,4.0
b8cd3b7a-18a9-4d4f-be84-bab1a95cf706,2015-04-11,3.0
b8cd3b7a-18a9-4d4f-be84-bab1a95cf706,2015-04-17,1.0
